('S5', 'с5', 'D', 2007, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('S6', 'с6', 'E', 1994, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('S6 e-tron', 'С6 е-трон', 'E', 2024, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('S7', 'с7', 'E', 2012, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('S8', 'с8', 'F', 1996, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('SQ2', 'ску2', 'B', 2018, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('SQ5', 'ску5', 'D', 2013, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('SQ5 Sportback', 'ЭсКью5 Спортбек', 'D', 2020, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('SQ6 e-tron', 'СКу6 е-трон', 'E', 2024, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('SQ6 Sportback e-tron', 'СКу6 Спортбек е-трон', 'E', 2024, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('SQ7', 'ску7', 'E', 2016, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('SQ8', 'ску8', 'E', 2019, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('SQ8 e-tron', 'СКу8 е-трон', 'E', 2022, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('SQ8 Sportback e-tron', 'СКу8 Спортбек е-трон', 'E', 2022, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('TT', 'ТТ', 'S', 1998, 2023, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('TT RS', 'ТТ РС', 'S', 2009, 2023, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('TTS', 'ТТС', 'C', 2007, 2023, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('Typ R', 'Тип-Р', '', 1927, 1929, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('V8', 'в8', 'F', 1988, 1994, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('Komendant', 'Комендант', 'F', 2022, null, '6d5b7d6f-d571-4585-8c01-79347eeac543')
('Lafet', 'Лафет', 'F', 2021, null, '6d5b7d6f-d571-4585-8c01-79347eeac543')
